Año,Periodo,Parámetro,Variación anual
2020,Año,A Coruña,-9.1
2020,Año,Álava,-8.1
2020,Año,Albacete,-7.4
2020,Año,Alicante,-13.6
2020,Año,Almería,-9.1
2020,Año,Asturias,-9
2020,Año,Ávila,-8.4
2020,Año,Badajoz,-5.3
2020,Año,Baleares,-27
2020,Año,Barcelona,-11.7
2020,Año,Bizkaia,-9
2020,Año,Burgos,-8.4
2020,Año,Cáceres,-5.3
2020,Año,Cádiz,-12.4
2020,Año,Cantabria,-9.2
2020,Año,Castellón,-8.3
2020,Año,Ceuta,-4
2020,Año,Ciudad Real,-5.7
2020,Año,Córdoba,-10.2
2020,Año,Cuenca,-6.4
2020,Año,Girona,-14.2
2020,Año,Granada,-12.6
2020,Año,Guadalajara,-6.5
2020,Año,Guipuzkoa,-8.3
2020,Año,Huelva,-9.5
2020,Año,Huesca,-8
2020,Año,Jaén,-8.7
2020,Año,La Rioja,-8.8
2020,Año,Las Palmas,-21
2020,Año,León,-8.2
2020,Año,Lleida,-8
2020,Año,Lugo,-8
2020,Año,Madrid,-10.5
2020,Año,Málaga,-17
2020,Año,Melilla,-4
2020,Año,Murcia,-8.2
2020,Año,Navarra,-8.3
2020,Año,Ourense,-8.9
2020,Año,Palencia,-8.3
2020,Año,Pontevedra,-9.2
2020,Año,Salamanca,-9.4
2020,Año,Santa Cruz de Tenerife,-19
2020,Año,Segovia,-8.1
2020,Año,Sevilla,-10.7
2020,Año,Soria,-6.7
2020,Año,Tarragona,-11.4
2020,Año,Teruel,-7
2020,Año,Toledo,-6.7
2020,Año,Valencia,-9.4
2020,Año,Valladolid,-9.3
2020,Año,Zamora,-6.4
2020,Año,Zaragoza,-8.7