ccaa;Porcentaje.con.65a.o..;Porcentaje.con.75a.o..;Hospitales;PHD;PHD.por.100.000.habitantes;CSUR;Proporcio.de.población.de.25.a.64.años.con.nivel.de.estudios.de.1º.Etapa.de.educación;Gasto.sanitario.público.gestionado.por.las.comunidades.autónomas..por.habitante.protegido;Porcentaje.del.gasto.en.farmacia;Tasa.de.infección.hospitalaria;Años.de.vida.saludable.a.los.65.años.;Prevalencia.declarada.de.diabetes.en.la.población.adulta;Prevalencia.declarada.de.asma.en.población.adulta;Prevalencia.declarada.de.EPOC.en.población.adulta;Tasa.de.pobreza
Andalucia;17.41;8.25;51;3067;36.3;37;49.0;1264.66;18.77;1.33;16.09;8.25;4.93;3.42;32.0
Aragon;21.73;11.44;20;419;31.6;1;35.5;1620.35;16.16;1.12;20.24;7.9;3.86;4.29;14.2
Asturias;26.09;13.04;12;442;43.3;4;33.2;1683.67;16.71;0.76;17.29;8.66;5.71;4.68;14.0
Canarias;16.54;7.5;12;511;23.0;1;44.6;1530.02;17.29;1.6;18.24;10.99;3.81;1.71;32.1
Cantabria;22.29;10.94;5;299;51.4;7;31.3;1588.1;16.71;1.62;18.72;5.95;6.9;2.74;19.9
Castilla y Leon;25.51;13.96;16;843;35.1;5;50.0;1628.89;17.45;1.08;20.27;7.42;5.53;4.29;16.1
Castilla-La Mancha;19.08;10.2;20;641;31.4;2;39.7;1510.73;18.34;0.77;19.32;7.53;4.3;3.55;29.9
Cataluna;19.22;9.53;157;5390;70.8;88;37.6;1492.08;14.03;1.14;18.3;7.01;3.52;3.04;13.6
Ceuta y Melilla;12.42;5.57;2;53;31.4;0;54.1;1460.14;16.67;0.71;17.72;7.91;5.04;2.37;38.3
Comunitat Valenciana;19.67;9.49;39;142;28.4;25;40.8;1493.93;19.18;0.81;18.93;8.02;3.67;2.33;26.0
Extremadura;20.89;11.02;12;419;39.4;0;55.0;1663.26;19.26;0.8;18.38;9.19;4.38;4.27;37.6
Galicia;25.44;13.48;19;883;32.7;12;41.1;1529.77;18.79;1.37;20.02;9.12;8.82;6.4;18.8
Islas Baleares;15.97;7.32;11;339;28.3;0;42.4;1498.85;12.86;1.48;20.2;4.85;4.29;2.46;15.4
La Rioja;21.27;11.03;6;103;32.8;0;38.2;1497.75;16.19;1.17;19.39;5.41;4.75;1.93;16.6
Madrid;17.98;8.89;37;2511;37.6;84;27.7;1289.26;15.5;1.48;20.15;7.39;4.8;2.14;16.1
Murcia;15.89;7.62;16;415;27.8;6;46.9;1611.7;16.42;0.69;15.64;7.28;2.92;2.8;28.6
Navarra;19.96;10.04;6;272;41.7;0;31.3;1688.49;13.24;0.74;19.54;7.52;4.34;2.97;8.9
Pais Vasco;22.84;11.48;26;1239;56.8;7;28.3;1734.72;13.51;1.05;20.88;6.86;5.31;2.46;8.6